Group,Sample,SDR_Mix (dB),SDR_Sep (dB),SDR_Improv (dB),STOI,PESQ (WB)
spk_5,sample_0,-11.86,-7.34,4.52,0.6152,1.1
spk_5,sample_1,-20.06,-14.92,5.14,0.4822,1.02
spk_5,sample_2,-19.97,-12.69,7.29,0.5281,1.09
spk_5,sample_3,-10.71,-7.54,3.17,0.5857,1.12
spk_5,sample_4,-10.06,-1.19,8.86,0.5546,1.07
spk_5,sample_5,-13.91,-7.18,6.73,0.5547,1.04
spk_5,sample_6,-29.82,-19.08,10.73,0.2819,1.03
spk_5,sample_7,-14.28,-10.42,3.86,0.6248,1.07
spk_5,sample_8,-4.42,-2.89,1.54,0.608,1.11
spk_5,sample_9,-14.77,-10.4,4.37,0.5623,1.05
spk_5,sample_10,-17.98,-12.79,5.19,0.5933,1.05
spk_5,sample_11,-13.63,-8.51,5.11,0.6653,1.17
spk_5,sample_12,-12.39,-5.15,7.25,0.4735,1.07
spk_5,sample_13,-14.6,-6.64,7.97,0.6276,1.09
spk_5,sample_14,-17.06,-10.6,6.46,0.3317,1.05
spk_5,sample_15,-7.62,-5.63,1.98,0.4625,1.05
spk_5,sample_16,-5.35,-2.38,2.97,0.7587,1.17
spk_5,sample_17,-18.16,-7.89,10.27,0.5973,1.05
spk_5,sample_18,-11.79,-6.95,4.84,0.6068,1.06
spk_5,sample_19,-13.95,-7.96,5.99,0.5553,1.07
spk_5,sample_20,-11.16,-6.31,4.85,0.6152,1.13
spk_5,sample_21,-6.62,-2.49,4.13,0.7081,1.18
spk_5,sample_22,-10.5,-7.0,3.5,0.5829,1.07
spk_5,sample_23,-8.01,-3.31,4.7,0.6063,1.05
spk_5,sample_24,-14.65,-6.95,7.7,0.6729,1.1
spk_5,sample_25,-14.35,-6.57,7.77,0.6495,1.06
spk_5,sample_26,-6.5,-5.25,1.25,0.5706,1.07
spk_5,sample_27,-20.93,-10.39,10.55,0.383,1.03
spk_5,sample_28,-15.54,-17.13,-1.59,0.3289,1.04
spk_5,sample_29,-12.6,-5.29,7.31,0.5605,1.05
spk_5,sample_30,-17.73,-11.11,6.62,0.3735,1.03
spk_5,sample_31,-12.24,-5.66,6.59,0.5914,1.04
spk_5,sample_32,-16.2,-11.36,4.84,0.4463,1.06
spk_5,sample_33,-12.33,-9.29,3.05,0.3708,1.02
spk_5,sample_34,-14.08,-6.7,7.38,0.6053,1.19
spk_5,sample_35,-16.4,-8.37,8.03,0.628,1.1
spk_5,sample_36,-11.75,-7.1,4.64,0.5473,1.03
spk_5,sample_37,-15.66,-11.75,3.91,0.5301,1.05
spk_5,sample_38,-14.46,-9.47,4.99,0.5717,1.06
spk_5,sample_39,-9.46,-5.53,3.93,0.6015,1.05
spk_5,sample_40,-10.74,-6.93,3.81,0.5855,1.06
spk_5,sample_41,-9.65,-5.49,4.17,0.7268,1.16
spk_5,sample_42,-19.3,-15.28,4.01,0.2473,1.03
spk_5,sample_43,-16.9,-12.23,4.67,0.3278,1.04
spk_5,sample_44,-4.81,-3.56,1.26,0.5306,1.2
spk_5,sample_45,-8.63,-4.67,3.96,0.5381,1.06
spk_5,sample_46,-19.43,-8.55,10.88,0.429,1.09
spk_5,sample_47,-18.54,-9.05,9.49,0.6395,1.14
spk_5,sample_48,-7.72,-4.22,3.5,0.6036,1.1
spk_5,sample_49,-11.61,-7.07,4.54,0.6321,1.1
spk_5,sample_50,-4.77,-2.51,2.27,0.6517,1.21
spk_5,sample_51,-5.24,-3.89,1.35,0.6718,1.11
spk_5,sample_52,-4.77,-2.35,2.42,0.7823,1.26
spk_5,sample_53,-10.84,-7.11,3.73,0.4995,1.03
spk_5,sample_54,-19.37,-11.85,7.52,0.5283,1.05
spk_5,sample_55,-13.42,-8.08,5.34,0.6969,1.1
spk_5,sample_56,-15.01,-6.98,8.03,0.5898,1.05
spk_5,sample_57,-19.97,-11.76,8.21,0.4619,1.05
spk_5,sample_58,-18.7,-12.31,6.39,0.4843,1.06
spk_5,sample_59,-3.46,0.31,3.78,0.6311,1.11
spk_5,sample_60,-5.99,-5.44,0.55,0.6138,1.12
spk_5,sample_61,-15.5,-9.82,5.69,0.4716,1.06
spk_5,sample_62,-16.79,-8.61,8.19,0.4712,1.04
spk_5,sample_63,-7.46,-3.14,4.32,0.5686,1.04
spk_5,sample_64,-12.82,-7.05,5.77,0.538,1.04
spk_5,sample_65,-19.12,-16.13,2.98,0.0194,1.04
spk_5,sample_66,-8.92,-3.32,5.6,0.4609,1.05
spk_5,sample_67,-15.64,-10.54,5.1,0.6304,1.1
spk_5,sample_68,-18.12,-11.17,6.95,0.5441,1.04
spk_5,sample_69,-4.58,-4.09,0.48,0.6114,1.1
spk_5,sample_70,-8.19,-5.22,2.97,0.6866,1.09
spk_5,sample_71,-16.6,-8.07,8.54,0.662,1.05
spk_5,sample_72,-4.43,-2.65,1.78,0.6773,1.13
spk_5,sample_73,-14.16,-4.48,9.68,0.7362,1.1
spk_5,sample_74,-6.22,-2.64,3.58,0.6335,1.11
spk_5,sample_75,-21.25,-17.81,3.44,0.3751,1.04
spk_5,sample_76,-16.07,-10.93,5.14,0.5128,1.04
spk_5,sample_77,-20.8,-11.16,9.63,0.4849,1.04
spk_5,sample_78,-16.82,-8.74,8.08,0.5957,1.05
spk_5,sample_79,-17.11,-8.12,8.99,0.5395,1.14
spk_5,sample_80,-8.84,-2.7,6.14,0.5162,1.15
spk_5,sample_81,-14.71,-6.04,8.67,0.617,1.09
spk_5,sample_82,-4.24,-3.37,0.87,0.6927,1.14
spk_5,sample_83,-6.19,-1.23,4.97,0.6117,1.24
spk_5,sample_84,-17.45,-11.22,6.23,0.3647,1.07
spk_5,sample_85,-12.67,-8.29,4.38,0.5825,1.05
spk_5,sample_86,-23.7,-17.75,5.95,0.2562,1.04
spk_5,sample_87,-8.98,-4.45,4.54,0.5382,1.04
spk_5,sample_88,-21.61,-16.93,4.68,0.5186,1.07
spk_5,sample_89,-10.91,-6.16,4.75,0.6151,1.1
spk_5,sample_90,-7.11,-3.68,3.43,0.6404,1.07
spk_5,sample_91,-9.53,-5.66,3.87,0.6753,1.08
spk_5,sample_92,-1.41,1.67,3.08,0.6174,1.06
spk_5,sample_93,-10.03,-4.32,5.71,0.6042,1.1
spk_5,sample_94,-10.59,-7.43,3.16,0.5323,1.08
spk_5,sample_95,-8.14,-2.59,5.54,0.729,1.13
spk_5,sample_96,-10.46,-5.92,4.54,0.6805,1.1
spk_5,sample_97,-18.9,-12.41,6.49,0.548,1.06
spk_5,sample_98,-15.87,-10.47,5.4,0.5409,1.03
spk_5,sample_99,-9.16,-5.04,4.11,0.6005,1.11
spk_5,SubAvg: Mild Noise (SDR > -5dB),-4.1,-2.16,1.94,0.6447,1.15
spk_5,SubAvg: Moderate Noise (-10dB < SDR <= -5dB),-7.71,-4.0,3.71,0.6147,1.1
spk_5,SubAvg: Severe Noise (SDR <= -10dB),-15.61,-9.49,6.13,0.5255,1.07
spk_5,== TOTAL AVERAGE ==,-12.84,-7.62,5.22,0.5559,1.08
