Group,Sample,SDR_Mix (dB),SDR_Sep (dB),SDR_Improv (dB),STOI,PESQ (WB)
spk_3,sample_0,-16.07,-13.39,2.68,0.5662,1.05
spk_3,sample_1,-14.35,-6.02,8.33,0.6377,1.08
spk_3,sample_2,-22.67,-15.23,7.44,0.3771,1.03
spk_3,sample_3,-14.62,-5.95,8.68,0.6297,1.04
spk_3,sample_4,-6.44,-0.13,6.32,0.6214,1.11
spk_3,sample_5,-11.99,-8.03,3.96,0.487,1.04
spk_3,sample_6,-8.49,-5.59,2.9,0.6653,1.07
spk_3,sample_7,-11.59,-5.31,6.28,0.777,1.1
spk_3,sample_8,-9.96,-6.0,3.95,0.726,1.12
spk_3,sample_9,-12.69,-5.82,6.87,0.433,1.05
spk_3,sample_10,-10.0,-4.49,5.51,0.7591,1.3
spk_3,sample_11,-4.08,-0.2,3.88,0.7056,1.13
spk_3,sample_12,-4.21,-0.76,3.44,0.7408,1.29
spk_3,sample_13,-12.53,-5.52,7.01,0.6501,1.17
spk_3,sample_14,-7.4,-3.26,4.14,0.6621,1.04
spk_3,sample_15,-12.73,-4.69,8.05,0.4638,1.11
spk_3,sample_16,-19.12,-9.54,9.58,0.6223,1.13
spk_3,sample_17,-10.26,-3.21,7.05,0.6487,1.11
spk_3,sample_18,-19.35,-7.7,11.64,0.5847,1.06
spk_3,sample_19,-14.41,-5.61,8.8,0.7299,1.13
spk_3,sample_20,-9.66,-2.95,6.71,0.6371,1.08
spk_3,sample_21,-7.31,-3.04,4.28,0.7092,1.15
spk_3,sample_22,-6.98,-1.15,5.83,0.6384,1.17
spk_3,sample_23,-10.73,-6.42,4.31,0.5852,1.11
spk_3,sample_24,-11.97,-6.17,5.8,0.5487,1.07
spk_3,sample_25,-14.1,-6.84,7.26,0.6268,1.21
spk_3,sample_26,-17.48,-9.56,7.92,0.5869,1.04
spk_3,sample_27,-17.22,-12.11,5.11,0.506,1.05
spk_3,sample_28,-14.83,-7.92,6.91,0.5063,1.08
spk_3,sample_29,-13.55,-6.91,6.64,0.4991,1.08
spk_3,sample_30,-13.93,-5.11,8.82,0.6284,1.08
spk_3,sample_31,-10.02,-4.95,5.08,0.6508,1.06
spk_3,sample_32,-3.26,-0.73,2.53,0.7072,1.13
spk_3,sample_33,-16.52,-9.95,6.57,0.4076,1.1
spk_3,sample_34,-13.87,-7.39,6.48,0.6315,1.06
spk_3,sample_35,-2.79,0.75,3.54,0.7493,1.14
spk_3,sample_36,-19.01,-8.85,10.16,0.4847,1.13
spk_3,sample_37,-9.9,-3.14,6.76,0.6371,1.09
spk_3,sample_38,-6.15,-0.99,5.16,0.5762,1.18
spk_3,sample_39,-18.92,-10.18,8.73,0.6632,1.1
spk_3,sample_40,-22.88,-7.15,15.73,0.666,1.09
spk_3,sample_41,-13.23,-6.86,6.38,0.5681,1.05
spk_3,sample_42,-7.15,-2.78,4.37,0.7356,1.18
spk_3,sample_43,-13.4,-5.91,7.49,0.6475,1.15
spk_3,sample_44,-6.31,-4.7,1.61,0.6831,1.05
spk_3,sample_45,-18.27,-9.14,9.13,0.6512,1.03
spk_3,sample_46,-15.63,-9.72,5.91,0.716,1.07
spk_3,sample_47,-13.71,-3.3,10.42,0.6365,1.26
spk_3,sample_48,-8.34,-4.01,4.33,0.6607,1.09
spk_3,sample_49,-16.28,-3.07,13.21,0.6591,1.15
spk_3,sample_50,-3.63,-1.7,1.93,0.7106,1.15
spk_3,sample_51,-6.17,-1.11,5.06,0.622,1.16
spk_3,sample_52,-8.17,-3.98,4.19,0.7898,1.19
spk_3,sample_53,-14.29,-6.8,7.49,0.5374,1.07
spk_3,sample_54,-9.46,-5.42,4.04,0.6123,1.08
spk_3,sample_55,-9.04,-3.42,5.62,0.5834,1.13
spk_3,sample_56,-4.59,-1.08,3.51,0.7604,1.33
spk_3,sample_57,-15.63,-12.8,2.83,0.5172,1.05
spk_3,sample_58,-8.91,-1.03,7.88,0.6866,1.07
spk_3,sample_59,-13.23,-5.37,7.86,0.5963,1.08
spk_3,sample_60,-9.28,-4.02,5.27,0.729,1.2
spk_3,sample_61,-6.84,-3.14,3.7,0.4715,1.03
spk_3,sample_62,-18.53,-6.16,12.37,0.6021,1.14
spk_3,sample_63,-11.31,-7.74,3.58,0.6564,1.05
spk_3,sample_64,-4.24,-2.06,2.18,0.6834,1.14
spk_3,sample_65,-13.46,-7.8,5.66,0.6201,1.07
spk_3,sample_66,-13.79,-7.46,6.33,0.5472,1.06
spk_3,sample_67,-13.81,-8.02,5.79,0.691,1.16
spk_3,sample_68,-15.43,-9.27,6.16,0.5822,1.13
spk_3,sample_69,-3.66,-2.1,1.55,0.7764,1.29
spk_3,sample_70,-11.44,-7.23,4.21,0.6622,1.13
spk_3,sample_71,-12.44,-7.31,5.12,0.6222,1.08
spk_3,sample_72,-11.35,-4.03,7.32,0.6659,1.08
spk_3,sample_73,-11.87,-6.66,5.21,0.7226,1.05
spk_3,sample_74,-10.46,-6.84,3.62,0.7082,1.06
spk_3,sample_75,-8.4,0.35,8.75,0.552,1.11
spk_3,sample_76,-17.26,-7.5,9.76,0.6201,1.09
spk_3,sample_77,-10.23,-6.45,3.78,0.6862,1.07
spk_3,sample_78,-11.58,-5.57,6.01,0.7337,1.08
spk_3,sample_79,-12.35,-7.12,5.23,0.6425,1.04
spk_3,sample_80,-11.29,-4.93,6.36,0.6783,1.11
spk_3,sample_81,-7.65,-1.41,6.23,0.7702,1.19
spk_3,sample_82,-12.24,-7.96,4.28,0.6078,1.05
spk_3,sample_83,-11.71,-5.36,6.35,0.6184,1.05
spk_3,sample_84,-23.54,-9.7,13.85,0.7469,1.15
spk_3,sample_85,-18.23,-9.41,8.81,0.5574,1.1
spk_3,sample_86,-8.87,-3.73,5.14,0.6398,1.14
spk_3,sample_87,-6.42,-0.99,5.43,0.7307,1.14
spk_3,sample_88,-10.38,-4.81,5.57,0.576,1.08
spk_3,sample_89,-13.06,-6.34,6.72,0.7314,1.14
spk_3,sample_90,-9.43,-3.35,6.09,0.5118,1.04
spk_3,sample_91,-11.55,-8.56,2.99,0.4968,1.06
spk_3,sample_92,-15.16,-5.36,9.8,0.5382,1.12
spk_3,sample_93,-5.68,-2.83,2.86,0.6983,1.23
spk_3,sample_94,-11.65,-8.67,2.98,0.727,1.11
spk_3,sample_95,-10.85,-5.14,5.71,0.6243,1.08
spk_3,sample_96,-6.18,-1.85,4.33,0.7525,1.19
spk_3,sample_97,-11.05,-3.68,7.37,0.5759,1.12
spk_3,sample_98,-2.48,-0.7,1.79,0.7427,1.14
spk_3,sample_99,-2.23,-1.74,0.49,0.8106,1.29
spk_3,SubAvg: Mild Noise (SDR > -5dB),-3.52,-1.03,2.49,0.7387,1.2
spk_3,SubAvg: Moderate Noise (-10dB < SDR <= -5dB),-7.87,-2.83,5.04,0.6578,1.12
spk_3,SubAvg: Severe Noise (SDR <= -10dB),-14.17,-7.16,7.02,0.6114,1.09
spk_3,== TOTAL AVERAGE ==,-11.47,-5.42,6.05,0.6362,1.11
