Group,Sample,SDR_Mix (dB),SDR_Sep (dB),SDR_Improv (dB),STOI,PESQ (WB)
spk_2,sample_0,-7.99,-2.87,5.12,0.7292,1.28
spk_2,sample_1,-7.57,-1.83,5.75,0.7101,1.21
spk_2,sample_2,-21.68,-12.8,8.88,0.6718,1.18
spk_2,sample_3,-8.03,-3.44,4.6,0.6204,1.06
spk_2,sample_4,1.14,1.64,0.5,0.8308,1.81
spk_2,sample_5,-11.42,-3.18,8.24,0.8338,1.35
spk_2,sample_6,-11.57,-2.64,8.93,0.6727,1.26
spk_2,sample_7,-12.91,-7.37,5.54,0.5584,1.07
spk_2,sample_8,-5.84,0.04,5.89,0.7943,1.32
spk_2,sample_9,-6.28,-2.93,3.35,0.7211,1.17
spk_2,sample_10,-9.24,-3.74,5.5,0.7378,1.15
spk_2,sample_11,-0.72,-3.18,-2.46,0.7601,1.21
spk_2,sample_12,-5.27,-2.11,3.15,0.8123,1.25
spk_2,sample_13,-8.22,-0.62,7.6,0.7837,1.38
spk_2,sample_14,-7.65,-1.28,6.37,0.7475,1.35
spk_2,sample_15,-10.69,-4.05,6.64,0.7595,1.09
spk_2,sample_16,-2.92,0.22,3.14,0.7981,1.42
spk_2,sample_17,-7.47,1.84,9.31,0.8492,1.25
spk_2,sample_18,-22.01,-11.0,11.02,0.6453,1.07
spk_2,sample_19,-4.95,-0.59,4.36,0.7839,1.26
spk_2,sample_20,-8.24,-1.94,6.29,0.6947,1.31
spk_2,sample_21,-6.08,-0.09,5.99,0.8412,1.3
spk_2,sample_22,-21.59,-17.02,4.57,0.2382,1.03
spk_2,sample_23,-10.18,-4.97,5.21,0.7306,1.11
spk_2,sample_24,-3.75,0.45,4.2,0.6974,1.49
spk_2,sample_25,-6.37,0.14,6.51,0.794,1.17
spk_2,sample_26,-8.3,-4.05,4.25,0.6915,1.17
spk_2,sample_27,-1.37,3.59,4.96,0.734,1.26
spk_2,sample_28,-2.98,-0.07,2.91,0.8077,1.43
spk_2,sample_29,-2.41,1.89,4.29,0.7859,1.27
spk_2,sample_30,-13.31,-3.92,9.39,0.7845,1.1
spk_2,sample_31,2.79,3.26,0.47,0.8426,1.26
spk_2,sample_32,-3.93,1.1,5.03,0.8559,1.37
spk_2,sample_33,-11.46,-4.5,6.95,0.7955,1.33
spk_2,sample_34,1.06,1.19,0.13,0.7553,1.31
spk_2,sample_35,-11.87,-3.21,8.66,0.7142,1.27
spk_2,sample_36,-15.92,-15.37,0.55,0.5816,1.04
spk_2,sample_37,-17.2,-8.3,8.9,0.437,1.11
spk_2,sample_38,-0.24,0.72,0.96,0.7759,1.07
spk_2,sample_39,-5.69,-2.23,3.46,0.7244,1.15
spk_2,sample_40,-8.18,-1.5,6.69,0.7326,1.27
spk_2,sample_41,-1.25,1.79,3.04,0.7643,1.46
spk_2,sample_42,-21.94,-15.95,5.99,0.5861,1.17
spk_2,sample_43,-9.41,-4.41,4.99,0.7891,1.35
spk_2,sample_44,-4.57,-1.13,3.44,0.7701,1.27
spk_2,sample_45,-8.61,-3.61,5.01,0.7006,1.13
spk_2,sample_46,-2.66,0.11,2.76,0.8198,1.41
spk_2,sample_47,-2.17,0.78,2.95,0.7107,1.14
spk_2,sample_48,-2.52,4.54,7.05,0.7599,1.26
spk_2,sample_49,-18.43,-7.0,11.43,0.6378,1.11
spk_2,sample_50,-17.72,-10.62,7.09,0.4277,1.06
spk_2,sample_51,-16.78,-4.59,12.18,0.6463,1.2
spk_2,sample_52,-13.2,-6.91,6.29,0.5719,1.07
spk_2,sample_53,-10.63,-2.28,8.35,0.7381,1.19
spk_2,sample_54,-6.93,-2.65,4.28,0.8453,1.39
spk_2,sample_55,-10.1,-3.7,6.4,0.7098,1.18
spk_2,sample_56,-23.31,-10.57,12.74,0.4108,1.09
spk_2,sample_57,-5.95,-1.87,4.08,0.7331,1.2
spk_2,sample_58,-9.79,-3.48,6.32,0.6048,1.16
spk_2,sample_59,-4.6,-2.14,2.46,0.8799,1.4
spk_2,sample_60,-9.62,-4.62,5.0,0.7817,1.17
spk_2,sample_61,-0.69,-0.04,0.65,0.8082,1.31
spk_2,sample_62,-11.28,-4.87,6.41,0.735,1.21
spk_2,sample_63,-7.87,-3.08,4.78,0.6878,1.32
spk_2,sample_64,-11.68,-2.84,8.85,0.8667,1.56
spk_2,sample_65,-7.72,-2.95,4.77,0.6567,1.13
spk_2,sample_66,-8.52,-3.91,4.61,0.7627,1.11
spk_2,sample_67,-11.44,-2.27,9.17,0.6722,1.28
spk_2,sample_68,-3.57,-0.08,3.49,0.7919,1.3
spk_2,sample_69,0.88,4.0,3.12,0.7414,1.2
spk_2,sample_70,-6.41,-0.76,5.66,0.7785,1.22
spk_2,sample_71,-1.52,-0.29,1.23,0.7515,1.18
spk_2,sample_72,-4.28,-1.71,2.57,0.8008,1.15
spk_2,sample_73,-2.64,-0.04,2.6,0.7372,1.34
spk_2,sample_74,-12.74,-3.24,9.5,0.8274,1.39
spk_2,sample_75,-19.41,-9.34,10.06,0.6845,1.05
spk_2,sample_76,-9.31,-0.64,8.67,0.68,1.12
spk_2,sample_77,-6.84,-2.38,4.46,0.8011,1.27
spk_2,sample_78,-12.42,-3.93,8.49,0.6494,1.14
spk_2,sample_79,-20.35,-10.52,9.83,0.5797,1.07
spk_2,sample_80,-7.85,-0.66,7.19,0.7785,1.12
spk_2,sample_81,-8.9,-1.86,7.04,0.6677,1.22
spk_2,sample_82,-6.02,-2.29,3.73,0.6955,1.18
spk_2,sample_83,-6.85,-6.18,0.67,0.7233,1.18
spk_2,sample_84,-11.98,-1.03,10.95,0.6929,1.27
spk_2,sample_85,-9.47,0.51,9.98,0.7777,1.14
spk_2,sample_86,-2.91,1.52,4.42,0.8187,1.38
spk_2,sample_87,-12.06,-7.6,4.46,0.6587,1.11
spk_2,sample_88,-1.82,-1.97,-0.15,0.7551,1.18
spk_2,sample_89,-9.43,-5.23,4.19,0.6922,1.13
spk_2,sample_90,-4.81,-0.62,4.19,0.8032,1.55
spk_2,sample_91,-7.71,-4.08,3.63,0.7316,1.23
spk_2,sample_92,-8.32,-3.55,4.77,0.7914,1.23
spk_2,sample_93,-5.32,0.24,5.57,0.7191,1.1
spk_2,sample_94,-11.84,-9.44,2.4,0.6178,1.1
spk_2,sample_95,-17.15,-6.76,10.39,0.6425,1.14
spk_2,sample_96,-0.65,0.8,1.45,0.8237,1.44
spk_2,sample_97,-8.93,-3.16,5.77,0.7705,1.17
spk_2,sample_98,-12.54,-5.27,7.27,0.6386,1.11
spk_2,sample_99,-10.99,0.64,11.64,0.7313,1.14
spk_2,SubAvg: Mild Noise (SDR > -5dB),-2.07,0.56,2.63,0.7844,1.33
spk_2,SubAvg: Moderate Noise (-10dB < SDR <= -5dB),-7.69,-2.3,5.39,0.7409,1.21
spk_2,SubAvg: Severe Noise (SDR <= -10dB),-14.7,-6.66,8.04,0.6514,1.17
spk_2,== TOTAL AVERAGE ==,-8.5,-2.98,5.52,0.7227,1.23
